Date,Team,VegasLine
20151230,Lakers,206
20151230,Hornets,201
20151230,Clippers,201
20151230,Kings,214
20151230,Seventysixers,214
20151230,Magic,199
20151230,Nets,199
20151230,Mavericks,209.5
20151230,Warriors,209.5
20151230,Raptors,202.5
20151230,Wizards,202.5
20151230,Spurs,197.5
20151230,Suns,197.5
20151230,Timberwolves,191
20151230,Jazz,191
20151230,Trailblazers,201
20151230,Nuggets,201
20151231,Jazz,190
20151231,Trailblazers,190
20151231,Pacers,200
20151231,Bucks,200
20151231,Pelicans,207.5
20151231,Clippers,207.5
20151231,Pistons,201
20151231,Timberwolves,201
20151231,Rockets,212
20151231,Warriors,212
20151231,Thunder,212
20151231,Suns,212
20160101,Bulls,197.5
20160101,Knicks,197.5
20160101,Heat,196.5
20160101,Mavericks,196.5
20160101,Lakers,207
20160101,Seventysixers,207
20160101,Raptors,197
20160101,Hornets,197
20160101,Wizards,203
20160101,Magic,203
20160102,Cavaliers,192.5
20160102,Magic,192.5
20160102,Celtics,204
20160102,Nets,204
20160102,Clippers,204
20160102,Seventysixers,204
20160102,Hornets,209
20160102,Thunder,209
20160102,Jazz,186
20160102,Grizzlies,186
20160102,Kings,213.5
20160102,Suns,213.5
20160102,Mavericks,206
20160102,Pelicans,206
20160102,Pacers,203.5
20160102,Pistons,203.5
20160102,Spurs,202
20160102,Rockets,202
20160102,Timberwolves,203
20160102,Bucks,203
20160102,Warriors,215
20160102,Nuggets,215
20160103,Knicks,202.5
20160103,Hawks,202.5
20160103,Lakers,207.5
20160103,Suns,207.5
20160103,Nuggets,204.5
20160103,Trailblazers,204.5
20160103,Raptors,197
20160103,Bulls,197
20160103,Wizards,198
20160103,Heat,198
20160104,Bucks,192.5
20160104,Spurs,192.5
20160104,Cavaliers,193
20160104,Raptors,193
20160104,Heat,193
20160104,Pacers,193
20160104,Jazz,199.5
20160104,Rockets,199.5
20160104,Nets,202.5
20160104,Celtics,202.5
20160104,Pistons,198
20160104,Magic,198
20160104,Seventysixers,204
20160104,Timberwolves,204
20160104,Thunder,216.5
20160104,Kings,216.5
20160104,Trailblazers,194
20160104,Grizzlies,194
20160104,Warriors,211
20160104,Hornets,211
20160105,Bulls,201
20160105,Bucks,201
20160105,Hawks,203.5
20160105,Knicks,203.5
20160105,Lakers,212.5
20160105,Warriors,212.5
20160105,Mavericks,213
20160105,Kings,213
20160106,Celtics,202
20160106,Pistons,202
20160106,Heat,193
20160106,Knicks,193
20160106,Magic,198.5
20160106,Pacers,198.5
20160106,Nets,195.5
20160106,Raptors,195.5
20160106,Pelicans,202.5
20160106,Mavericks,202.5
20160106,Spurs,185
20160106,Jazz,185
20160106,Suns,204.5
20160106,Hornets,204.5
20160106,Thunder,199
20160106,Grizzlies,199
20160106,Timberwolves,202.5
20160106,Nuggets,202.5
20160106,Trailblazers,205.5
20160106,Clippers,205.5
20160106,Wizards,202
20160106,Cavaliers,202
20160107,Bulls,203.5
20160107,Celtics,203.5
20160107,Kings,214
20160107,Lakers,214
20160107,Rockets,197.5
20160107,Jazz,197.5
20160107,Seventysixers,207.5
20160107,Hawks,207.5
20160108,Bucks,203.5
20160108,Mavericks,203.5
20160108,Grizzlies,190.5
20160108,Nuggets,190.5
20160108,Lakers,211
20160108,Thunder,211
20160108,Nets,192
20160108,Magic,192
20160108,Pelicans,204
20160108,Pacers,204
20160108,Spurs,196.5
20160108,Knicks,196.5
20160108,Suns,197
20160108,Heat,197
20160108,Timberwolves,197.5
20160108,Cavaliers,197.5
20160108,Trailblazers,213
20160108,Warriors,213
20160108,Wizards,202.5
20160108,Raptors,202.5
20160109,Clippers,203
20160109,Hornets,203
20160109,Hawks,208
20160109,Bulls,208
20160109,Jazz,183
20160109,Heat,183
20160109,Kings,223.5
20160109,Warriors,223.5
20160109,Magic,199
20160109,Wizards,199
20160109,Pistons,194.5
20160109,Nets,194.5
20160109,Seventysixers,202.5
20160109,Raptors,202.5
20160110,Clippers,205
20160110,Pelicans,205
20160110,Grizzlies,192.5
20160110,Celtics,192.5
20160110,Knicks,197.5
20160110,Bucks,197.5
20160110,Lakers,192
20160110,Jazz,192
20160110,Nuggets,199
20160110,Hornets,199
20160110,Rockets,207
20160110,Pacers,207
20160110,Seventysixers,205.5
20160110,Cavaliers,205.5
20160110,Timberwolves,198.5
20160110,Mavericks,198.5
20160110,Trailblazers,215
20160110,Thunder,215
20160111,Bulls,207
20160111,Wizards,207
20160111,Nets,194.5
20160111,Spurs,194.5
20160111,Warriors,207
20160111,Heat,207
20160112,Bucks,203
20160112,Bulls,203
20160112,Grizzlies,197
20160112,Rockets,197
20160112,Knicks,200.5
20160112,Celtics,200.5
20160112,Lakers,203.5
20160112,Pelicans,203.5
20160112,Mavericks,198.5
